,state,type,m²,posted_by,city,price_eur
969,not listed,3 bedroom,78.0,agency,Banja Luka,147900.0
970,not listed,4 bedroom,97.0,agency,Banja Luka,219300.0
971,not listed,1 bedroom,37.0,agency,Banja Luka,75480.0
972,used,2 bedroom,45.0,agency,Sarajevo - Centar,109599.0
973,used,4 bedroom,86.0,agency,Sarajevo - Centar,221850.0
974,used,2 bedroom,108.0,agency,Sarajevo - Centar,279990.0
975,not listed,3 bedroom,72.0,agency,Banja Luka,124950.0
976,used,4 bedroom,93.0,agency,Brčko,113730.0
977,used,4 bedroom,76.0,agency,Bijeljina,114750.0
978,used,1.5 bedroom,40.0,individual,Banja Luka,76500.0
979,used,3 bedroom,101.0,agency,Tuzla,158100.0
980,used,3 bedroom,65.54,agency,Lukavac,96565.0
981,used,5+ bedroom,220.0,agency,Kiseljak,213180.0
982,used,2 bedroom,41.0,agency,Tuzla,103755.0
983,used,4 bedroom,160.0,agency,Sarajevo - Novi Grad,441150.0
984,used,3 bedroom,78.0,agency,Banja Luka,156570.0
985,not listed,3 bedroom,51.0,agency,Banja Luka,104774.0
986,not listed,4 bedroom,118.0,agency,Banja Luka,150450.0
987,not listed,3 bedroom,60.0,agency,Banja Luka,132370.0
988,used,3 bedroom,75.0,agency,Sarajevo - Novo Sarajevo,186150.0
989,used,4 bedroom,450.0,agency,Ilidža,561000.0
990,used,3 bedroom,68.0,agency,Sarajevo - Centar,191250.0
991,not listed,1 bedroom,38.0,agency,Banja Luka,73032.0
992,not listed,2 bedroom,68.24,individual,Vogošća,116790.0
993,used,2 bedroom,54.0,agency,Tuzla,96390.0
994,not listed,2 bedroom,52.0,individual,Živinice,86700.0
995,used,2 bedroom,53.0,individual,Sarajevo - Centar,111690.0
996,not listed,2 bedroom,70.0,individual,Kladanj,76500.0
997,used,1 bedroom,40.0,agency,Ilidža,130050.0
998,used,2 bedroom,44.0,agency,Banja Luka,81600.0
999,used,4 bedroom,93.44,agency,Istočno Sarajevo,142800.0
1000,used,3 bedroom,62.0,agency,Vogošća,127500.0
1001,not listed,2 bedroom,62.0,agency,Sarajevo - Centar,145350.0
1002,used,2 bedroom,57.0,agency,Sarajevo - Novi Grad,140250.0
1003,not listed,3 bedroom,70.0,agency,Sarajevo - Centar,146370.0
1004,used,2 bedroom,50.0,agency,Sarajevo - Novi Grad,99450.0
1005,used,1 bedroom,40.0,agency,Sarajevo - Novo Sarajevo,117300.0
1006,used,2 bedroom,50.0,agency,Sarajevo - Centar,132600.0
1007,used,2 bedroom,57.0,agency,Sarajevo - Novo Sarajevo,178500.0
1008,used,3 bedroom,53.0,agency,Ilidža,122400.0
1009,used,3 bedroom,68.0,agency,Sarajevo - Novo Sarajevo,180336.0
1010,used,2 bedroom,55.0,individual,Bosanska Krupa,45900.0
1011,used,4 bedroom,106.0,agency,Banja Luka,193800.0
1012,used,3 bedroom,78.0,agency,Banja Luka,156570.0
1013,used,4 bedroom,155.0,agency,Sarajevo - Stari Grad,553350.0
1014,used,2 bedroom,62.0,agency,Istočno Sarajevo,86700.0
1015,used,3 bedroom,53.85,agency,Istočna Ilidža,76897.0
1016,used,3 bedroom,55.7,agency,Istočna Ilidža,79539.0
1017,used,2 bedroom,45.18,agency,Istočna Ilidža,64517.0
1018,used,2 bedroom,43.86,agency,Istočna Ilidža,62632.0
1019,used,3 bedroom,70.0,individual,Istočno Sarajevo,83895.0
1020,used,2 bedroom,43.29,agency,Istočna Ilidža,59610.0
1021,used,2 bedroom,42.89,agency,Istočna Ilidža,61246.0
1022,used,4 bedroom,102.0,agency,Sarajevo - Stari Grad,252450.0
1023,used,5+ bedroom,106.0,agency,Sarajevo - Centar,219300.0
1024,used,3 bedroom,75.0,agency,Sarajevo - Stari Grad,229500.0
